Date,Open,High,Low,Close,Adj Close,Volume,Date
2023-03-01,23150.9296875,23880.6328125,23088.626953125,23646.55078125,23646.55078125,24662841200,2023-03-01
2023-03-02,23647.01953125,23739.138671875,23245.021484375,23475.466796875,23475.466796875,20386398516,2023-03-02
2023-03-03,23476.6328125,23479.34765625,22213.23828125,22362.6796875,22362.6796875,26062404610,2023-03-03
2023-03-04,22362.923828125,22405.177734375,22198.98046875,22353.349609375,22353.349609375,11166012913,2023-03-04
2023-03-05,22354.14453125,22613.685546875,22307.142578125,22435.513671875,22435.513671875,13317001733,2023-03-05
2023-03-06,22436.81640625,22584.29296875,22331.314453125,22429.7578125,22429.7578125,17353192895,2023-03-06
2023-03-07,22428.322265625,22527.41796875,22011.26171875,22219.76953125,22219.76953125,22765452204,2023-03-07
2023-03-08,22216.44140625,22268.896484375,21708.05078125,21718.080078125,21718.080078125,22536575684,2023-03-08
2023-03-09,21720.080078125,21802.716796875,20210.306640625,20363.021484375,20363.021484375,30364664171,2023-03-09
2023-03-10,20367.001953125,20370.595703125,19628.25390625,20187.244140625,20187.244140625,39578257695,2023-03-10
2023-03-11,20187.876953125,20792.525390625,20068.66015625,20632.41015625,20632.41015625,30180288176,2023-03-11
2023-03-12,20628.029296875,22185.03125,20448.806640625,22163.94921875,22163.94921875,29279035521,2023-03-12
2023-03-13,22156.40625,24550.837890625,21918.19921875,24197.533203125,24197.533203125,49466362688,2023-03-13
2023-03-14,24201.765625,26514.716796875,24081.18359375,24746.07421875,24746.07421875,54622230164,2023-03-14
2023-03-15,24770.92578125,25240.615234375,23964.91015625,24375.9609375,24375.9609375,43655701450,2023-03-15
2023-03-16,24373.45703125,25190.326171875,24225.111328125,25052.7890625,25052.7890625,33866061747,2023-03-16
2023-03-17,25055.123046875,27787.8125,24955.169921875,27423.9296875,27423.9296875,50730261335,2023-03-17
2023-03-18,27448.1171875,27725.953125,26636.26171875,26965.87890625,26965.87890625,35723036817,2023-03-18
2023-03-19,26969.50390625,28440.560546875,26907.716796875,28038.67578125,28038.67578125,37769448859,2023-03-19
2023-03-20,28041.6015625,28527.724609375,27242.880859375,27767.236328125,27767.236328125,44774027664,2023-03-20
2023-03-21,27768.392578125,28439.5625,27439.646484375,28175.81640625,28175.81640625,36102192830,2023-03-21
2023-03-22,28158.720703125,28803.3359375,26759.99609375,27307.4375,27307.4375,33382021890,2023-03-22
2023-03-23,27301.95703125,28729.84375,27183.36328125,28333.97265625,28333.97265625,24220433689,2023-03-23
2023-03-24,28324.111328125,28388.4375,27039.265625,27493.28515625,27493.28515625,25980310960,2023-03-24
2023-03-25,27487.337890625,27791.826171875,27196.234375,27494.70703125,27494.70703125,13383005987,2023-03-25
2023-03-26,27495.5234375,28178.14453125,27445.046875,27994.330078125,27994.330078125,13878363192,2023-03-26
2023-03-27,27994.068359375,28037.92578125,26606.689453125,27139.888671875,27139.888671875,18188895178,2023-03-27
2023-03-28,27132.888671875,27460.71875,26677.818359375,27268.130859375,27268.130859375,17783600385,2023-03-28
2023-03-29,27267.03125,28619.54296875,27259.662109375,28348.44140625,28348.44140625,20684945906,2023-03-29
2023-03-30,28350.140625,29159.90234375,27720.16015625,28033.5625,28033.5625,22435349951,2023-03-30
